Private/Public,Facility Name,Local Government,Population,Population Projection,2018,2035
Public,Mt Beauty Transfer Station,ALPINE,"2,420",Decline,38,57
Public,Myrtleford Transfer Station,ALPINE,"4,634",Decline,72,109
Public,Porepunkah Transfer Station & Recycling Centre,ALPINE,"3,976",Decline,62,93
Public,Ararat Resource Recovery Centre,ARARAT,"8,297",Decline,129,194
Public,Lake Bolac landfill & Resource Recovery Centre,ARARAT,330,Decline,5,8
Public,Ballarat Transfer Station,BALLARAT,"1,01,689",Large,"1,579","2,384"
Public,Banyule Waste Recovery Centre,BANYULE,"1,21,869",Small,"1,892","2,857"
Public,Cowes Recycling Facility,BASS COAST,"11,669",Large,181,274
Public,Grantville Resource Recovery Centre (at landfill site),BASS COAST,"3,799",Large,59,89
Public,Wonthaggi Transfer Station,BASS COAST,"13,458",Large,209,315
Public,Lardner Transfer Station,BAW BAW,"29,997",Large,466,703
Public,Neerim South Transfer Station,BAW BAW,"3,260",Large,51,76
Public,Trafalgar Transfer Station,BAW BAW,"6,424",Large,100,151
Public,Bayside Waste & Recycling Centre,BAYSIDE,"97,092",Small,"1,508","2,276"
Public,Benalla Resource Recovery Centre,BENALLA,"13,863",Decline,215,325
Public,Boroondara Transfer Station,BOROONDARA,"1,67,232",Small,"2,597","3,920"
Public,Brimbank City Council Detox Centre,BRIMBANK,"1,94,315",Small,"3,017","4,555"
Public,Birchip Landfill,BULOKE,702,Decline,11,
Public,Sea Lake Resource Recovery Facility,BULOKE,"1,027",Decline,16,24
Public,Echuca Environment Centre,CAMPASPE,"14,574",Small,226,342
Public,Mt Scobie Transfer Station (also known as Kyabram),CAMPASPE,"10,912",Small,169,256
Public,Rochester Transfer Station & Resource Recovery,CAMPASPE,"3,880",Small,60,91
Public,Rushworth Transfer Station,CAMPASPE,"4,041",Small,63,95
Private,Cardinia Waste and Recyclers,CARDINIA,"94,130",Small,"1,462","2,206"
Private,Hampton Park Transfer Station,CASEY,"2,99,296",Small,"4,647","7,015"
Public,Carisbrook Transfer Station,CENTRAL GOLDFIELDS,"9,564",Small,149,224
Public,Alvie Transfer Station,COLAC OTWAY,729,Decline,11,17
Public,Apollo Bay Resource Recovery Centre,COLAC OTWAY,"2,083",Decline,32,49
Private,Western Waste Management,COLAC OTWAY,"12,979",Small,202,304
Public,Corangamite (Naroghid) Regional Resource Recovery,CORANGAMITE,"8,301",Decline,129,195
Public,Timboon Transfer Station & Resource Recovery,CORANGAMITE,"1,631",Decline,25,38
Public,Darebin Resource Recovery Centre,DAREBIN,"1,46,722",Large,"2,278","3,439"
Public,Bairnsdale RRC,EAST GIPPSLAND,"15,977",Small,248,374
Public,Bruthen Transfer Station,EAST GIPPSLAND,"2,252",Small,35,53
Public,Lakes Entrance Transfer Station,EAST GIPPSLAND,"8,187",Small,127,192
Public,Mallacoota Transfer Station,EAST GIPPSLAND,"1,063",Small,17,25
Public,Omeo Recycling & Recovery Transfer Centre,EAST GIPPSLAND,737,Small,11,17
Public,Orbost Transfer Station,EAST GIPPSLAND,"2,993",Small,46,70
Public,Falls Creek Village Transfer Station,FALLS CREEK,293,Small,5,7
Public,Frankston Regional Recycling and Recovery Centre,FRANKSTON,"1,34,144",Small,"2,083","3,144"
Public,Cohuna Transfer Station,GANNAWARRA,"2,428",Decline,38,57
Public,Kerang Transfer Station,GANNAWARRA,"5,815",Decline,90,136
Public,Casterton Resource Recovery Centre,GLENELG,"1,935",Decline,30,45
Public,Portland Landfill and Transfer Station,GLENELG,"11,751",Decline,182,275
Public,Rokewood Transfer Station,GOLDEN PLAINS,"11,338",Large,176,266
Public,Eaglehawk Recovery & Sales Yard,GREATER BENDIGO,"94,378",Large,"1,465","2,212"
Public,Heathcote,GREATER BENDIGO,"4,513",Large,70,106
Public,Strathfieldsaye Transfer Station,GREATER BENDIGO,"8,630",Large,134,202
Public,Drysdale Resource Recovery Centre & Transfer Station,GREATER GEELONG,"48,315",Large,750,"1,132"
Public,Station,GREATER GEELONG,"1,74,164",Large,"2,704","4,082"
Public,Ardmona Transfer Station,GREATER SHEPPARTON,"6,074",Small,94,142
Public,Shepparton Transfer Station,GREATER SHEPPARTON,"49,674",Small,771,"1,164"
Public,Creswick Transfer Station and Resale Centre,HEPBURN,"3,170",Small,49,74
Public,Daylesford Transfer Station and Resale Centre,HEPBURN,"8,956",Small,139,210
Public,Dimboola Transfer Station,HINDMARSH,"1,730",Decline,27,41
Public,Nhill Transfer Station,HINDMARSH,"2,184",Decline,34,51
Public,Horsham Transfer Station & Resource Recovery Centre,HORSHAM,"16,250",Small,252,381
Public,Campbellfield Recycling & Waste Transfer Station,HUME,"1,60,353",Large,"2,490","3,759"
Public,Sunbury Recycling & Waste Transfer Station,HUME,"39,369",Large,611,923
Public,Beechworth Transfer Station,INDIGO,"4,569",Small,71,107
Public,Rutherglen Transfer Station,INDIGO,"6,969",Small,108,163
Private,Clayton Transfer Station (Cleanaway),KINGSTON,"1,51,389",Small,"2,351","3,549"
Public,Knox Transfer Station & Recycling Facility,KNOX,"1,54,109",Small,"2,393","3,612"
Public,Moe Transfer Station,LATROBE,"16,832",Small,261,395
Public,Morwell Transfer Station,LATROBE,"23,126",Small,359,542
Public,Traralgon Transfer Station,LATROBE,"29,442",Small,457,690
Public,Boort landfill and recycle,LODDON,996,Decline,15,23
Public,Inglewood Transfer Station,LODDON,"1,772",Decline,28,42
Public,Kyneton Transfer Station,MACEDON RANGES,"9,648",Large,150,226
Public,Romsey Resource Recovery & Transfer Station,MACEDON RANGES,"9,360",Large,145,219
Public,Woodend Transfer Station,MACEDON RANGES,"23,111",Large,359,542
Public,Mansfield Resource Recovery Centre,MANSFIELD,"8,848",Small,137,207
Private,CityWide Waste & Recycling Centre,MELBOURNE,"1,35,964",Small,"2,111","3,187"
Public,Melton Recycling Centre,MELTON,"1,35,443",Large,"2,103","3,175"
Public,Mildura Transfer Station & Recovery Facility,MILDURA,"50,622",Small,786,"1,187"
Public,Ouyen Landfill,MILDURA,"1,191",Small,18,28
Public,Broadford Transfer Station,MITCHELL,"13,871",Large,215,325
Public,Seymour Resource Recovery Facility (at landfill site),MITCHELL,"7,324",Large,114,172
Public,Wallan Transfer Station,MITCHELL,"16,219",Large,252,380
Public,Cobram Resource Recovery Centre,MOIRA,"6,348",Small,99,149
Public,Nathalia Transfer Station,MOIRA,"1,880",Small,29,44
Public,Numurkah Transfer Station,MOIRA,"12,265",Small,190,287
Public,Yarrawonga Transfer Station,MOIRA,"7,930",Small,123,186
Public,Monash Waste Transfer & Recycling Station,MONASH,"1,82,617",Small,"2,836","4,281"
Public,Moonee Valley Transfer Station,MOONEE VALLEY,"1,16,674",Large,"1,812","2,735"
Public,Bacchus Marsh Transfer Station,MOORABOOL,"20,345",Large,316,477
Public,Ballan Transfer Station,MOORABOOL,"4,806",Large,75,113
Public,Castlemaine Resource Recovery Centre,MOUNT ALEXANDER,"14,888",Small,231,349
Public,Maldon Transfer Station,MOUNT ALEXANDER,"2,368",Small,37,56
Public,Killarney Resource Recovery Centre,MOYNE,"4,697",Small,73,110
Public,Mortlake Transfer Station & Resource Recovery Facility,MOYNE,"1,902",Small,30,45
Public,Mt Buller Transfer Station,MT BULLER,243,Small,4,6
Public,Mt Hotham Resource Recovery Centre,MT HOTHAM,426,Small,7,10
Public,Alexandra Resource Recovery Centre,MURRINDINDI,"6,337",Small,98,149
Public,Kinglake Transfer Station,MURRINDINDI,"3,844",Small,60,90
Public,Yea Transfer Station,MURRINDINDI,"3,560",Small,55,83
Public,Nillumbik Recycling & Recovery Centre,NILLUMBIK,"61,274",Small,951,"1,436"
Public,St Arnaud Transfer Station and Landfill,NORTHERN GRAMPIANS,"3,352",Decline,52,79
Public,Stawell Transfer Station,NORTHERN GRAMPIANS,"8,093",Decline,126,190
Public,Mornington Transfer Station,PENINSULA,"71,449",Small,"1,109","1,675"
Public,Rye Resourece Recovery Centre,PENINSULA,"43,435",Small,674,"1,018"
Public,Tyabb Transfer Station,PENINSULA,"40,105",Small,623,940
Public,Port Phillip Transfer Station (the Depot),PORT PHILLIP,"1,00,863",Large,"1,566","2,364"
Public,Avoca Transfer Station,PYRENEES,"3,302",Small,51,77
Public,Beaufort Transfer Station,PYRENEES,"4,395",Small,68,103
Public,Snake Valley Transfer Station,PYRENEES,743,Small,12,17
Public,Foster Transfer Station,SOUTH GIPPSLAND,"4,491",Small,70,105
Public,Koonwarra Transfer Station Koonwarra,SOUTH GIPPSLAND,"2,792",Small,43,65
Public,Korumburra Transfer Station,SOUTH GIPPSLAND,"11,477",Small,178,269
Public,Mirboo North Transfer Station,SOUTH GIPPSLAND,"4,480",Small,70,105
Public,Venus Bay Transfer Station,SOUTH GIPPSLAND,"1,397",Small,22,33
Public,Hamilton Resource Recovery Centre,SOUTHERN GRAMPIANS,"9,974",Decline,155,234
Public,Stonnington Waste Transfer Station,STONNINGTON,"1,03,831",Large,"1,612","2,434"
Public,Euroa Transfer Station,STRATHBOGIE,"6,278",Small,97,147
Public,Nagambie Transfer Station,STRATHBOGIE,"4,004",Small,62,94
Public,Anglesea Transfer Station (at landfill site),SURF COAST,"22,129",Large,344,519
Public,Lorne Transfer Station & Resource Recovery Facility,SURF COAST,"1,150",Large,18,27
Public,Winchelsea Transfer Station,SURF COAST,"5,745",Large,89,135
Public,Robinvale Landfill and transfer station,SWAN HILL,"3,584",Small,56,84
Public,Swan Hill Big Green Shed,SWAN HILL,"13,179",Small,205,309
Public,Corryong Resource Recovery Centre,TOWONG,"2,267",Decline,35,53
Public,Tallangatta Transfer Station,TOWONG,"2,567",Decline,40,60
Public,Wangaratta Transfer Station,WANGARATTA,"23,371",Small,363,548
Private,Statewide Recycling Services Pty Ltd,WARRNAMBOOL,"33,655",Small,523,789
Public,Heyfield Transfer Station,WELLINGTON,"3,350",Small,52,79
Public,Kilmany Transfer Station,WELLINGTON,"17,838",Small,277,418
Public,Maffra Resource Recopvery Centre,WELLINGTON,"6,646",Small,103,156
Public,Stratford Transfer Station & Resource Recovery Facility,WELLINGTON,"2,877",Small,45,67
Public,Yarram Transfer Station & Resource Recovery Facility,WELLINGTON,"4,266",Small,66,100
Public,Edenhope Transfer Station,WEST WIMMERA,"1,178",Decline,18,28
Public,Kaniva Transfer Station,WEST WIMMERA,"1,133",Decline,18,27
Public,Whitehorse Recycling & Waste Centre,WHITEHORSE,"1,62,080",Small,"2,517","3,799"
Private,Wollert Transfer Station (at Wollert landfill),WHITTLESEA,"1,97,490",Small,"3,067","4,629"
Public,Wodonga Transfer Station,WODONGA,"39,351",Large,611,922
Public,Wyndham Transfer Station,WYNDHAM,"2,17,118",Large,"3,371","5,089"
Public,Clifton Hill Recycling Drop-off Centre,YARRA,"86,652",Large,"1,346","2,031"
Public,Coldstream Recovery & Waste Transfer Station,YARRA RANGES,"81,662",Small,"1,268","1,914"
Private,Wesburn Recovery & Waste Transfer Station,YARRA RANGES,"81,662",Small,"1,268","1,914"
Public,Hopetoun Transfer Station & Resource Recovery Centre,YARRIAMBIACK,739,Decline,11,17
Public,Murtoa Transfer Station & Resource Recovery Centre,YARRIAMBIACK,865,Decline,13,20
Public,Warracknabeal Landfill and Resource Recovery Centre,YARRIAMBIACK,"2,438",Decline,38,57